bet,net,inst,actual,predicted,probability,oddsH,oddsD,oddsA
Make bet on home team!,-44.0,157,A,H,0.362,2.2,3.5,3.2
Don't make bet!,0,158,A,A,0.032,3,3.3,2.38
Make bet on a draw!,-38.2,159,H,D,0.221,1.91,3.6,4
Make bet on a draw!,-40.0,160,H,D,0.137,2,3.5,3.75
Make bet on home team!,-27.2,161,A,H,0.912,1.36,4.75,9
Make bet on home team!,24.0,162,H,H,1,1.2,6.5,15
Don't make bet!,0,163,A,A,0.002,5.5,3.75,1.67
Make bet on a draw!,-44.0,164,H,D,0.112,2.2,3.4,3.25
Don't make bet!,0,165,H,D,0.058,2.4,3.4,2.88
Don't make bet!,0,166,D,D,0.044,3.1,3.2,2.4
Make bet on home team!,32.4,167,H,H,0.931,1.62,4,5.5
Make bet on a draw!,40.0,168,D,D,0.147,2,3.5,3.75
Don't make bet!,0,169,A,A,0,5.5,4,1.62
Make bet on home team!,30.6,170,H,H,0.633,1.53,4,6.5
Make bet on home team!,22.8,171,H,H,1,1.14,8,19
Make bet on a draw!,-42.0,172,H,D,0.249,2.1,3.4,3.5
Don't make bet!,0,173,A,D,0.065,2,3.5,3.75
Make bet on home team!,-32.4,174,D,H,0.944,1.62,3.75,6
Make bet on a draw!,-38.2,175,H,D,0.138,1.91,3.6,4
Don't make bet!,0,176,A,D,0.016,2.88,3.25,2.5
Don't make bet!,0,177,A,A,0.002,4.75,3.75,1.73
Make bet on home team!,26.6,178,H,H,0.999,1.33,5.5,8.5
Don't make bet!,0,179,D,A,0.001,5,4,1.67
Don't make bet!,0,180,A,A,0.012,3.75,3.5,2
Make bet on home team!,28.8,181,H,H,0.835,1.44,4.5,7
Make bet on a draw!,37.0,182,D,D,0.179,1.85,3.6,4.2
Make bet on home team!,24.4,183,H,H,1,1.22,6.5,13
Don't make bet!,0,184,A,A,0,6,3.75,1.62
Don't make bet!,0,185,A,D,0.071,2.2,3.4,3.25
Don't make bet!,0,186,D,D,0.052,2.9,3.4,2.38
Don't make bet!,0,187,H,A,0.042,3.4,3.2,2.25
Don't make bet!,0,188,H,A,0,6.5,4,1.53
Make bet on home team!,28.8,189,H,H,0.965,1.44,4.5,7
Make bet on a draw!,-48.0,190,A,D,0.121,2.4,3.25,3
Make bet on a draw!,-42.0,191,A,D,0.301,2.1,3.4,3.5
Make bet on home team!,26.0,192,H,H,1,1.3,5.5,10
Don't make bet!,0,193,A,A,0,6,4,1.57
Don't make bet!,0,194,H,D,0.047,2.88,3.25,2.5
Make bet on a draw!,36.0,195,D,D,0.216,1.8,3.5,4.75
Don't make bet!,0,196,A,A,0.018,3.5,3.4,2.1
Don't make bet!,0,197,A,A,0.088,2.88,3.3,2.5
Don't make bet!,0,198,A,A,0.018,4,3.5,1.91
Make bet on home team!,25.8,199,H,H,1,1.29,5.5,11
Don't make bet!,0,200,D,A,0.001,5,3.75,1.7
Make bet on a draw!,31.4,201,D,D,0.114,1.57,4,6
Make bet on home team!,26.6,202,H,H,0.999,1.33,5,10
Make bet on a draw!,-40.0,203,A,D,0.151,2,3.5,3.75
