bet,inst,actual,predicted,probability,oddsH,oddsD,oddsA
Don't make bet!,208,A,D,0.024,3,3.4,2.38
Don't make bet!,209,A,D,0.077,2.55,3.5,2.9
Make bet on home team!,210,D,H,0.755,1.57,4.2,6.5
Make bet on a draw!,211,D,D,0.262,2.05,3.5,4
Don't make bet!,212,D,D,0.058,2.2,3.6,3.4
Don't make bet!,213,D,A,0.003,4.5,3.8,1.85
Don't make bet!,214,H,D,0.024,3,3.4,2.5
Don't make bet!,215,A,A,0.002,4.33,3.5,1.95
Make bet on a draw!,216,H,D,0.112,2.38,3.3,3.3
Make bet on home team!,217,A,H,0.414,2.63,3.5,2.8
Make bet on home team!,218,H,H,0.946,1.91,3.8,4.2
Make bet on home team!,219,D,H,1,1.25,6.5,15
Make bet on home team!,220,H,H,0.999,1.33,5.5,10.5
Make bet on home team!,221,H,H,1,1.25,6.5,14
Make bet on a draw!,222,A,D,0.213,1.75,4,5
Make bet on a draw!,223,H,D,0.198,2.2,3.4,3.6
Make bet on a draw!,224,D,D,0.129,1.75,4,5
Make bet on a draw!,225,D,D,0.19,2.1,3.5,3.75
Don't make bet!,226,A,D,0.094,2.15,3.4,3.8
Make bet on home team!,227,H,H,0.759,1.91,3.6,4
Make bet on away team!,228,D,A,0.302,2.9,3.6,2.5
Don't make bet!,229,D,D,0.01,3.6,3.5,2.05
Make bet on home team!,230,H,H,0.98,1.44,4.75,8
Don't make bet!,231,A,D,0.075,2.9,3.4,2.6
Don't make bet!,232,D,A,0,7.5,4.5,1.5
Make bet on a draw!,233,D,D,0.167,2.2,3.3,3.75
Make bet on a draw!,234,D,D,0.174,2.5,3.4,3
Make bet on home team!,235,D,H,0.668,2.4,3.5,3.1
Make bet on home team!,236,H,H,0.655,1.6,4.1,6.5
Make bet on a draw!,237,H,D,0.234,2.2,3.5,3.5
Make bet on home team!,238,H,H,1,1.25,6.5,14
Don't make bet!,239,D,A,0.001,4.75,3.75,1.83
Don't make bet!,240,D,A,0,7.5,4.5,1.5
Make bet on home team!,241,H,H,0.99,1.44,4.5,9
Make bet on home team!,242,D,H,0.946,1.4,5,9
Don't make bet!,243,A,A,0.001,5.5,4.2,1.65
Don't make bet!,244,H,A,0.005,4,3.6,2
Make bet on a draw!,245,D,D,0.113,1.95,3.6,4.33
Don't make bet!,246,H,D,0.072,2.5,3.4,3
Don't make bet!,247,H,D,0.088,2.4,3.4,3.2
Don't make bet!,248,D,D,0.064,2.2,3.5,3.5
