Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,MatchRating,GoalDiff,B365H,B365D,B365A,FTR,PosDiff,ShotsDiff,TargetShotsDiff
26/12/09,Liverpool,Wolves,average,good,6,9,14.94,10.61,8.67,6.28,H,4,1.29,5.5,11,H,-3,4.33,2.39
26/12/09,Man City,Stoke,average,poor,6,8,12.35,8.94,6.88,4.06,D,2,1.44,4.33,7.5,H,-2,3.41,2.82
26/12/09,Sunderland,Everton,poor,average,9,12,10.44,13.59,5.67,7.94,D,2,2.38,3.3,3,D,-3,-3.15,-2.27
26/12/09,West Ham,Portsmouth,poor,average,15,16,12.94,13.61,7.61,7.11,A,-4,2.1,3.3,3.6,H,-1,-0.67,0.5
26/12/09,Wigan,Blackburn,poor,poor,13,12,13.24,11.22,6.82,6.06,D,-3,2.3,3.25,3.2,D,1,2.02,0.76
27/12/09,Arsenal,Aston Villa,good,good,3,3,15,11.28,8.65,6.17,A,-5,1.73,3.5,5,H,0,3.72,2.48
27/12/09,Hull,Man United,poor,average,15,3,8.72,16.17,5.06,9.33,A,-14,8,4.2,1.4,A,12,-7.45,-4.27
28/12/09,Blackburn,Sunderland,poor,poor,12,10,11.05,10.42,5.89,5.68,D,2,2.1,3.3,3.6,D,2,0.63,0.21
28/12/09,Chelsea,Fulham,good,good,1,9,19.63,10.78,10.58,5.5,A,-4,1.36,4.5,10,H,-8,8.85,5.08
28/12/09,Everton,Burnley,average,average,13,12,13.5,10.05,7.72,5.68,D,3,1.57,3.8,6.5,H,1,3.45,2.04
28/12/09,Stoke,Birmingham,poor,good,12,8,8.83,9.63,4,5.68,A,-8,2.4,3.25,3,A,4,-0.8,-1.68
28/12/09,Tottenham,West Ham,good,average,5,14,15.53,12.95,9.05,7.47,H,7,1.44,4.2,8,H,-9,2.58,1.58
28/12/09,Wolves,Man City,average,good,13,6,10.37,12.33,6.05,6.83,D,-3,4.5,3.6,1.8,A,7,-1.96,-0.78
29/12/09,Aston Villa,Liverpool,good,good,5,7,11.05,14.89,6,8.74,D,2,2.8,3.25,2.6,A,-2,-3.84,-2.74
29/12/09,Bolton,Hull,good,poor,15,15,13.12,8.89,6.88,5.11,H,6,1.8,3.6,4.75,D,0,4.23,1.77
30/12/09,Man United,Wigan,good,average,2,13,16.32,13.28,9.42,6.89,H,17,1.2,6.5,15,H,-11,3.04,2.53
30/12/09,Portsmouth,Arsenal,average,good,15,3,13.47,15.22,7.11,8.83,A,-8,6.5,4,1.53,A,12,-1.75,-1.72
