Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;SJH;SJD;SJA;VCH;VCD;VCA;BSH;BSD;BSA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA
E0;22.10.2011;Wolves;Swansea;2;2;D;0;2;A;20;16;13;14;14;11;8;13;2;0;0;0;2;03.Nis;03.Aðu;2;03.Nis;03.Eyl;2;03.Nis;03.May;Oca.95;03.Mar;03.Haz;2;03.Mar;Mar.75;2;03.Nis;03.Haz;2;03.Mar;Mar.75;Oca.91;03.Haz;4;2;03.Nis;4;02.May;03.Mar;03.May;48;02.May;Oca.99;03.Haz;Mar.35;04.Þub;Mar.81;45;02.Eyl;Oca.97;Oca.88;01.Aðu;27;-0.5;02.Nis;Oca.99;Oca.92;Oca.87
E0;23.10.2011;Arsenal;Stoke;3;1;H;1;1;D;9;5;5;2;9;13;10;1;0;2;0;0;Oca.53;4;06.May;Oca.57;03.Eyl;06.May;Oca.55;Mar.75;6;01.Haz;03.Haz;5;Oca.53;03.Aðu;06.May;1.533;Mar.75;06.May;Oca.57;Mar.75;6;Oca.53;04.Þub;6;Oca.57;4;7;Oca.57;03.May;06.May;48;01.Haz;Oca.55;Nis.33;Mar.88;07.Haz;Haz.33;41;Oca.87;Oca.75;02.Kas;02.Mar;28;-1;02.Mar;Oca.99;Oca.91;Oca.87
E0;23.10.2011;Blackburn;Tottenham;1;2;A;1;1;D;19;9;8;7;19;7;8;5;4;1;0;0;4;03.May;Oca.91;Mar.85;03.May;01.Eyl;4;03.May;Oca.85;03.Tem;03.Mar;01.Eyl;4;03.Nis;Oca.91;04.Þub;03.Haz;01.Aðu;Mar.75;03.Haz;Oca.91;03.Aðu;03.Haz;Oca.95;Nis.33;03.Haz;Oca.85;Nis.33;03.May;01.Aðu;48;Nis.44;04.Þub;Mar.72;03.May;Oca.95;01.Eyl;45;Oca.85;Oca.78;02.Ara;2;26;0.5;Þub.25;Oca.97;Oca.94;Oca.89
E0;23.10.2011;Fulham;Everton;1;3;A;0;1;A;15;11;8;7;12;8;5;1;3;1;0;0;Þub.25;Mar.25;03.Mar;02.Mar;03.Þub;03.Oca;02.Mar;Mar.25;3;02.Nis;03.Þub;02.Tem;Þub.38;Mar.25;3;Þub.35;03.Þub;3;02.Nis;3;03.Þub;02.Mar;03.Nis;3;Þub.38;03.Þub;03.Mar;Þub.38;Mar.25;Þub.88;48;Þub.44;Þub.34;03.Nis;Mar.22;03.Mar;03.Eyl;40;Þub.35;02.Þub;01.Tem;Oca.64;26;-0.25;02.Aðu;02.Oca;Oca.88;Oca.85
E0;23.10.2011;Man United;Man City;1;6;A;0;1;A;12;19;8;12;15;11;7;4;4;4;1;0;2;03.Nis;03.Aðu;02.May;03.Mar;03.Aðu;02.May;03.Mar;03.May;2;03.Mar;03.Mar;02.Oca;03.Mar;03.Haz;02.Oca;Mar.25;03.May;02.Oca;03.Mar;03.May;02.May;03.May;03.Haz;02.Oca;03.Nis;03.Aðu;02.Oca;Mar.25;03.May;48;02.Ara;02.May;03.May;Mar.35;Mar.89;Mar.63;41;Oca.82;Oca.76;Þub.18;02.Þub;24;-0.5;02.Oca;02.Nis;Oca.87;Oca.82
E0;23.10.2011;QPR;Chelsea;1;0;H;1;0;H;8;14;3;7;17;17;0;6;2;7;0;2;09.May;5;Oca.33;9;04.May;Oca.35;8;Nis.75;Oca.35;7;04.Oca;01.Nis;8;04.May;01.Nis;08.May;04.May;1.363;08.May;Nis.75;Oca.36;07.May;04.May;01.Nis;10;5;Oca.36;9;Nis.33;Oca.36;47;Eki.16;Aðu.84;5;Nis.64;01.Nis;Oca.36;40;Oca.74;Oca.66;Þub.32;Þub.16;24;01.May;Oca.86;Oca.82;02.Oca;02.Mar
E0;29.10.2011;Chelsea;Arsenal;3;5;A;2;1;H;12;13;10;8;7;18;3;2;2;3;0;0;Oca.62;4;05.May;Oca.62;03.Eyl;5;01.Haz;Mar.75;05.May;01.Haz;03.Haz;5;Oca.62;03.Haz;6;1.571;03.Aðu;May.75;Oca.67;03.May;05.May;Oca.67;03.Eyl;5;Oca.62;4;6;Oca.62;Mar.75;05.May;48;Oca.67;Oca.61;04.Oca;03.Aðu;06.May;May.61;40;Oca.75;Oca.67;02.Mar;Þub.15;28;-1;02.Kas;02.May;Oca.86;Oca.82
E0;29.10.2011;Everton;Man United;0;1;A;0;1;A;18;7;11;6;12;8;4;1;3;0;0;0;04.May;03.Haz;01.Aðu;04.Haz;03.Tem;Oca.72;04.May;03.May;Oca.75;03.Tem;03.Mar;01.Eyl;04.May;03.May;01.Aðu;04.Haz;03.May;Oca.75;04.May;03.Nis;Oca.83;04.May;03.Haz;01.Aðu;Nis.75;03.Aðu;Oca.75;04.May;03.Nis;01.Aðu;47;5;Nis.57;Mar.83;Mar.55;01.Eyl;Oca.78;42;Oca.91;Oca.84;02.Haz;Oca.94;23;0.5;Þub.16;02.Oca;Oca.81;Oca.78
E0;29.10.2011;Man City;Wolves;3;1;H;0;0;D;18;9;9;2;17;5;5;4;2;1;1;0;Oca.17;7;19;Oca.15;7;17.May;Oca.15;Haz.75;17;Oca.17;05.Aðu;13;Oca.17;7;17;Oca.15;7;17;Oca.18;06.May;15;Oca.17;7;17;Oca.17;8;21;Oca.14;07.May;17;47;Oca.18;Oca.16;08.May;07.Þub;24;18.49;31;Oca.45;Oca.39;3;02.Aðu;24;-2;01.Eyl;Oca.84;02.Eyl;02.Þub
E0;29.10.2011;Norwich;Blackburn;3;3;D;0;1;A;13;12;6;7;9;10;6;2;2;1;0;0;Oca.91;03.Haz;4;Oca.88;03.May;4;Oca.95;03.Nis;Mar.75;Oca.95;03.Mar;03.Haz;2;03.May;Mar.75;Oca.95;03.Nis;Mar.75;2;03.Þub;4;2;03.Haz;03.Haz;Oca.95;03.Haz;4;Oca.91;03.Nis;03.Aðu;48;02.May;Oca.96;Mar.61;Mar.42;Nis.16;Mar.87;44;Oca.95;Oca.85;02.Mar;Oca.92;26;-0.5;02.Oca;Oca.97;Oca.94;Oca.89
E0;29.10.2011;Sunderland;Aston Villa;2;2;D;1;1;D;13;10;8;5;7;13;5;6;1;3;0;0;02.Oca;03.Mar;03.Haz;Þub.15;03.Nis;03.May;02.Oca;Mar.25;03.Nis;Þub.15;03.Þub;03.Oca;02.Þub;03.Mar;03.Mar;Þub.15;Mar.25;03.Nis;Þub.25;03.Þub;03.Mar;02.Þub;03.Mar;03.Nis;Þub.15;03.Mar;Mar.75;02.Þub;Mar.25;Mar.25;48;Þub.25;Þub.15;03.Nis;Mar.27;Mar.86;Mar.45;41;Þub.15;02.Þub;Oca.85;Oca.76;26;-0.25;Oca.86;Oca.81;Þub.14;02.May
E0;29.10.2011;Swansea;Bolton;3;1;H;0;0;D;20;8;12;3;9;14;10;2;3;4;0;1;02.Oca;03.Mar;03.Haz;02.May;03.Nis;03.May;02.Oca;03.Þub;03.May;02.Oca;03.Mar;03.Oca;02.Oca;03.Nis;03.May;02.Oca;03.Mar;03.Nis;Þub.15;03.Þub;03.May;2;03.May;Mar.75;02.Oca;03.Nis;03.Aðu;02.Oca;Mar.25;03.Haz;48;Þub.16;02.Eyl;03.May;Mar.32;Mar.84;Mar.54;45;Oca.95;Oca.89;Oca.98;Oca.88;26;-0.25;Oca.84;01.Aðu;02.Ara;02.Tem
E0;29.10.2011;West Brom;Liverpool;0;2;A;0;2;A;10;17;6;7;12;9;3;10;1;0;0;0;4;03.Mar;2;03.Aðu;03.Mar;02.May;Mar.75;03.Þub;2;03.Mar;03.Mar;2;Mar.75;03.May;2;03.Haz;03.Mar;02.May;Mar.75;03.Oca;02.Oca;03.Eyl;03.May;Oca.95;4;03.Nis;02.May;Mar.75;03.Nis;2;48;4;Mar.77;03.May;Mar.32;02.Oca;02.Þub;43;02.Eyl;Oca.99;Oca.84;Oca.79;26;0.5;Oca.86;Oca.82;02.Oca;02.May
E0;29.10.2011;Wigan;Fulham;0;2;A;0;1;A;18;7;9;5;17;14;9;0;2;5;0;0;Þub.88;Mar.25;02.May;02.Eyl;03.Þub;Þub.45;02.Eyl;03.Þub;02.Nis;02.Haz;03.Þub;02.May;02.Aðu;03.Mar;02.May;Þub.75;Mar.25;02.May;02.Eyl;03.Oca;02.May;02.Aðu;03.Mar;02.May;03.Ara;03.Mar;02.May;Þub.75;Mar.25;02.May;48;Mar.18;Þub.91;Mar.34;Mar.23;Þub.55;Þub.46;39;Þub.24;02.Oca;Oca.75;01.Tem;25;0.25;Oca.87;Oca.82;Þub.13;02.Nis
E0;30.10.2011;Tottenham;QPR;3;1;H;2;0;H;22;12;13;8;12;14;4;8;0;0;0;0;Oca.36;Nis.75;9;Oca.34;Nis.75;9;Oca.35;Nis.75;9;01.Nis;04.Oca;7;Oca.36;04.Haz;9;Oca.35;Nis.75;08.May;01.Nis;04.May;8;Oca.36;5;8;01.Nis;5;9;Oca.36;04.May;9;48;Oca.41;Oca.37;05.Þub;Nis.66;09.May;Aðu.56;32;Oca.65;Oca.57;Þub.43;Þub.28;26;-1.25;Oca.88;Oca.84;02.Aðu;02.Þub
E0;31.10.2011;Stoke;Newcastle;1;3;A;0;2;A;10;6;4;2;8;14;8;2;0;1;0;0;02.Oca;03.Þub;03.Aðu;02.Oca;Mar.25;Mar.75;Þub.15;03.Þub;03.Mar;02.Þub;03.Þub;3;02.Þub;03.Mar;03.Mar;02.Oca;Mar.25;03.May;02.Þub;03.Oca;03.May;02.Oca;03.Mar;03.Haz;Þub.15;03.Mar;Mar.75;02.Oca;Mar.25;03.May;47;Þub.22;Þub.13;03.Nis;Mar.25;03.Aðu;Mar.52;39;Þub.33;Þub.19;Oca.73;Oca.64;24;-0.25;Oca.88;Oca.82;02.Ara;02.May
