Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,FormH,FormA,PositionH,PositionA
15/09/12,Sunderland,Liverpool,D,3.4,3.3,2.2,,,,
16/09/12,Reading,Tottenham,A,3.75,3.5,2,,,,
17/09/12,Everton,Newcastle,D,1.73,3.6,5,,,,
22/09/12,Chelsea,Stoke,H,1.36,4.75,9,,,,
22/09/12,Southampton,Aston Villa,H,2.4,3.3,3,,,,
22/09/12,Swansea,Everton,A,3,3.3,2.4,,,,
22/09/12,West Brom,Reading,H,1.73,3.75,4.75,,,,
22/09/12,West Ham,Sunderland,D,2.1,3.3,3.6,,,,
22/09/12,Wigan,Fulham,A,2.4,3.3,3,,,,
23/09/12,Liverpool,Man United,A,2.7,3.3,2.63,,,,
23/09/12,Man City,Arsenal,D,1.75,3.6,4.75,,,,
23/09/12,Newcastle,Norwich,H,1.8,3.6,4.5,,,,
23/09/12,Tottenham,QPR,H,1.44,4.33,7.5,,,,
29/09/12,Arsenal,Chelsea,A,2.1,3.4,3.5,,,,
29/09/12,Everton,Southampton,H,1.4,4.75,8,,,,
29/09/12,Fulham,Man City,A,4.33,3.6,1.83,,,,
29/09/12,Man United,Tottenham,A,1.57,4,6,,,,
29/09/12,Norwich,Liverpool,A,4.75,3.75,1.73,,,,
29/09/12,Reading,Newcastle,D,2.88,3.3,2.5,,,,
29/09/12,Stoke,Swansea,H,1.91,3.4,4.2,,,,
29/09/12,Sunderland,Wigan,H,2,3.4,3.8,,,,
30/09/12,Aston Villa,West Brom,D,2.4,3.3,3,,,,
1/10/2012,QPR,West Ham,A,2.05,3.4,3.75,,,,
6/10/2012,Chelsea,Norwich,H,1.22,6.5,12,,,,
6/10/2012,Man City,Sunderland,H,1.29,5.5,11,,,,
6/10/2012,Swansea,Reading,D,1.91,3.6,4,,,,
6/10/2012,West Brom,QPR,H,1.83,3.75,4.2,,,,
6/10/2012,West Ham,Arsenal,A,4,3.6,1.91,,,,
6/10/2012,Wigan,Everton,D,4.2,3.4,1.91,,,,
7/10/2012,Liverpool,Stoke,D,1.44,4.33,7.5,,,,
7/10/2012,Newcastle,Man United,A,4.2,3.75,1.83,,,,
7/10/2012,Southampton,Fulham,D,2.75,3.3,2.6,,,,
7/10/2012,Tottenham,Aston Villa,H,1.44,4.33,7.5,,,,
20/10/12,Fulham,Aston Villa,H,1.8,3.6,4.5,,,,
20/10/12,Liverpool,Reading,H,1.33,5,10,,,,
20/10/12,Man United,Stoke,H,1.29,5.5,11,,,,
20/10/12,Norwich,Arsenal,H,6,4.2,1.53,,,,
20/10/12,Swansea,Wigan,H,2.1,3.4,3.5,,,,
20/10/12,Tottenham,Chelsea,A,2.5,3.4,2.75,,,,
20/10/12,West Brom,Man City,A,5,3.75,1.7,,,,
20/10/12,West Ham,Southampton,H,1.83,3.75,4.2,,,,
21/10/12,QPR,Everton,D,3.25,3.4,2.2,,,,
21/10/12,Sunderland,Newcastle,D,2.5,3.3,2.88,,,,
27/10/12,Arsenal,QPR,H,1.36,5,8.5,,,,
27/10/12,Aston Villa,Norwich,D,2,3.5,3.75,,,,
27/10/12,Man City,Swansea,H,1.22,6,15,,,,
27/10/12,Reading,Fulham,D,2.75,3.4,2.5,,,,
27/10/12,Stoke,Sunderland,D,1.95,3.3,4.2,,,,
27/10/12,Wigan,West Ham,H,2.25,3.4,3.2,,,,
28/10/12,Chelsea,Man United,A,2.4,3.4,2.9,,,,
28/10/12,Everton,Liverpool,D,2.6,3.3,2.75,,,,
28/10/12,Newcastle,West Brom,H,2,3.5,3.75,,,,
28/10/12,Southampton,Tottenham,A,4.2,3.75,1.83,,,,
3/11/2012,Fulham,Everton,D,2.75,3.4,2.5,,,,
3/11/2012,Man United,Arsenal,H,1.7,3.8,5,,,,
3/11/2012,Norwich,Stoke,H,2.6,3.3,2.75,,,,
3/11/2012,Sunderland,Aston Villa,A,2.1,3.3,3.6,,,,
3/11/2012,Swansea,Chelsea,D,4.5,3.6,1.8,,,,
3/11/2012,Tottenham,Wigan,A,1.5,4.33,6.5,,,,
3/11/2012,West Ham,Man City,D,5,3.8,1.7,,,,
4/11/2012,Liverpool,Newcastle,D,1.57,4,6,,,,
4/11/2012,QPR,Reading,D,1.8,3.6,4.5,,,,
5/11/2012,West Brom,Southampton,H,1.73,3.75,4.75,,,,
10/11/2012,Arsenal,Fulham,D,1.53,4.2,6,,,,
10/11/2012,Aston Villa,Man United,A,7,4.5,1.44,,,,
10/11/2012,Everton,Sunderland,H,1.44,4.2,8,,,,
10/11/2012,Reading,Norwich,D,2.25,3.4,3.2,,,,
10/11/2012,Southampton,Swansea,D,2.38,3.5,2.88,,,,
10/11/2012,Stoke,QPR,H,1.91,3.4,4.2,,,,
10/11/2012,Wigan,West Brom,A,2.3,3.4,3.1,,,,
11/11/2012,Chelsea,Liverpool,D,1.95,3.5,4,,,,
11/11/2012,Man City,Tottenham,H,1.57,4,6,,,,
11/11/2012,Newcastle,West Ham,A,1.95,3.6,3.8,,,,
17/11/12,Arsenal,Tottenham,H,1.91,3.75,3.8,,,,
17/11/12,Liverpool,Wigan,H,1.44,4.33,7.5,,,,
17/11/12,Man City,Aston Villa,H,1.2,6.5,15,,,,
17/11/12,Newcastle,Swansea,A,1.91,3.6,4,,,,
17/11/12,Norwich,Man United,H,7,4.5,1.44,,,,
17/11/12,QPR,Southampton,A,1.91,3.6,4,,,,
17/11/12,Reading,Everton,H,4.33,3.6,1.83,,,,
17/11/12,West Brom,Chelsea,H,3.75,3.5,2,,,,
18/11/12,Fulham,Sunderland,A,1.67,3.75,5.25,,,,
19/11/12,West Ham,Stoke,D,2,3.4,3.8,,,,
24/11/12,Aston Villa,Arsenal,D,4.75,3.75,1.73,,,,
24/11/12,Everton,Norwich,D,1.44,4.33,7.5,,,,
24/11/12,Man United,QPR,H,1.17,7.5,15,,,,
24/11/12,Stoke,Fulham,H,2.2,3.3,3.4,,,,
24/11/12,Sunderland,West Brom,A,2.5,3.3,2.88,,,,
24/11/12,Wigan,Reading,H,1.83,3.6,4.33,,,,
25/11/12,Chelsea,Man City,D,2.5,3.5,2.7,,,,
25/11/12,Southampton,Newcastle,H,2.3,3.5,3,,,,
25/11/12,Swansea,Liverpool,D,3.4,3.5,2.1,,,,
25/11/12,Tottenham,West Ham,H,1.67,3.75,5.5,,,,
27/11/12,Aston Villa,Reading,H,1.95,3.4,4,,,,
27/11/12,Sunderland,QPR,D,2.25,3.25,3.3,,,,
28/11/12,Chelsea,Fulham,D,1.44,4.5,7,,,,
28/11/12,Everton,Arsenal,D,2.5,3.4,2.75,,,,
28/11/12,Man United,West Ham,H,1.22,6.5,12,,,,
28/11/12,Southampton,Norwich,D,2,3.4,3.8,,,,
28/11/12,Stoke,Newcastle,H,1.91,3.4,4.2,,,,
28/11/12,Swansea,West Brom,H,2.3,3.4,3.1,,,,
28/11/12,Tottenham,Liverpool,H,2.4,3.4,2.88,,,,
28/11/12,Wigan,Man City,A,6,4.2,1.53,,,,
1/12/2012,Arsenal,Swansea,A,1.44,4.5,7,,,,
1/12/2012,Fulham,Tottenham,A,2.88,3.3,2.5,,,,
1/12/2012,Liverpool,Southampton,H,1.4,4.5,8.5,,,,
1/12/2012,Man City,Everton,D,1.5,4,7,,,,
1/12/2012,QPR,Aston Villa,D,1.95,3.5,4,,,,
1/12/2012,Reading,Man United,A,7.5,4.75,1.4,,,,
1/12/2012,West Brom,Stoke,A,2.1,3.25,3.75,,,,
1/12/2012,West Ham,Chelsea,H,4,3.5,1.91,,,,
2/12/2012,Norwich,Sunderland,H,2.1,3.3,3.6,,,,
3/12/2012,Newcastle,Wigan,H,2,3.4,3.75,,,,
8/12/2012,Arsenal,West Brom,H,1.5,4.33,6.5,,,,
8/12/2012,Aston Villa,Stoke,D,2.4,3.2,3.1,,,,
8/12/2012,Southampton,Reading,H,1.91,3.6,4,,,,
8/12/2012,Sunderland,Chelsea,A,4.75,3.5,1.8,,,,
8/12/2012,Swansea,Norwich,A,1.8,3.6,4.5,,,,
8/12/2012,Wigan,QPR,D,2.3,3.4,3.1,,,,
9/12/2012,Everton,Tottenham,H,2,3.5,3.75,,,,
9/12/2012,Man City,Man United,A,2.2,3.5,3.2,,,,
9/12/2012,West Ham,Liverpool,A,3,3.3,2.38,,,,
10/12/2012,Fulham,Newcastle,H,1.91,3.6,4,,,,
11/12/2012,Sunderland,Reading,H,2,3.5,3.75,,,,
15/12/12,Liverpool,Aston Villa,A,1.36,4.75,9,,,,
15/12/12,Man United,Sunderland,H,1.2,6.5,15,,,,
15/12/12,Newcastle,Man City,A,5.5,3.75,1.67,,,,
15/12/12,Norwich,Wigan,H,2.2,3.4,3.25,,,,
15/12/12,QPR,Fulham,H,2.4,3.4,2.88,,,,
15/12/12,Stoke,Everton,D,3.1,3.2,2.4,,,,
16/12/12,Tottenham,Swansea,H,1.62,4,5.5,,,,
16/12/12,West Brom,West Ham,D,2,3.5,3.75,,,,
17/12/12,Reading,Arsenal,A,5.5,4,1.62,,,,
22/12/12,Liverpool,Fulham,H,1.53,4,6.5,,,,
22/12/12,Man City,Reading,H,1.14,8,19,,,,
22/12/12,Newcastle,QPR,H,2.1,3.4,3.5,,,,
22/12/12,Southampton,Sunderland,A,2,3.5,3.75,,,,
22/12/12,Tottenham,Stoke,D,1.62,3.75,6,,,,
22/12/12,West Brom,Norwich,H,1.91,3.6,4,,,,
22/12/12,West Ham,Everton,A,2.88,3.25,2.5,,,,
22/12/12,Wigan,Arsenal,A,4.75,3.75,1.73,,,,
23/12/12,Chelsea,Aston Villa,H,1.33,5.5,8.5,,,,
23/12/12,Swansea,Man United,D,5,4,1.67,,,,
26/12/12,Aston Villa,Tottenham,A,3.75,3.5,2,,,,
26/12/12,Everton,Wigan,H,1.44,4.5,7,,,,
26/12/12,Fulham,Southampton,D,1.85,3.6,4.2,,,,
26/12/12,Man United,Newcastle,H,1.22,6.5,13,,,,
26/12/12,Norwich,Chelsea,A,6,3.75,1.62,,,,
26/12/12,QPR,West Brom,A,2.2,3.4,3.25,,,,
26/12/12,Reading,Swansea,D,2.9,3.4,2.38,,,,
26/12/12,Stoke,Liverpool,H,3.4,3.2,2.25,,,,
26/12/12,Sunderland,Man City,H,6.5,4,1.53,,,,
29/12/12,Arsenal,Newcastle,H,1.44,4.5,7,,,,
29/12/12,Aston Villa,Wigan,A,2.4,3.25,3,,,,
29/12/12,Fulham,Swansea,A,2.1,3.4,3.5,,,,
29/12/12,Man United,West Brom,H,1.3,5.5,10,,,,
29/12/12,Norwich,Man City,A,6,4,1.57,,,,
29/12/12,Reading,West Ham,H,2.88,3.25,2.5,,,,
29/12/12,Stoke,Southampton,D,1.8,3.5,4.75,,,,
29/12/12,Sunderland,Tottenham,A,3.5,3.4,2.1,,,,
30/12/12,Everton,Chelsea,A,2.88,3.3,2.5,,,,
30/12/12,QPR,Liverpool,A,4,3.5,1.91,,,,
1/1/2013,Man City,Stoke,H,1.29,5.5,11,,,,
1/1/2013,Southampton,Arsenal,D,5,3.75,1.7,,,,
1/1/2013,Swansea,Aston Villa,D,1.57,4,6,,,,
1/1/2013,Tottenham,Reading,H,1.33,5,10,,,,
1/1/2013,West Brom,Fulham,A,2,3.5,3.75,,,,
1/1/2013,West Ham,Norwich,H,2.1,3.4,3.5,,,,
1/1/2013,Wigan,Man United,A,6,4.2,1.53,,,,
2/1/2013,Chelsea,QPR,A,1.2,6.5,15,,,,
2/1/2013,Liverpool,Sunderland,H,1.4,4.5,8.5,,,,
2/1/2013,Newcastle,Everton,A,3,3.4,2.38,,,,
12/1/2013,Aston Villa,Southampton,A,2.55,3.5,2.9,,,,
12/1/2013,Everton,Swansea,D,1.57,4.2,6.5,,,,
12/1/2013,Fulham,Wigan,D,2.05,3.5,4,,,,
12/1/2013,Norwich,Newcastle,D,2.2,3.6,3.4,,,,
12/1/2013,QPR,Tottenham,D,4.5,3.8,1.85,,,,
12/1/2013,Reading,West Brom,H,3,3.4,2.5,,,,
12/1/2013,Stoke,Chelsea,A,4.33,3.5,1.95,,,,
12/1/2013,Sunderland,West Ham,H,2.38,3.3,3.3,,,,
13/01/13,Arsenal,Man City,A,2.63,3.5,2.8,,,,
13/01/13,Man United,Liverpool,H,1.91,3.8,4.2,,,,
16/01/13,Chelsea,Southampton,D,1.25,6.5,15,,,,
19/01/13,Liverpool,Norwich,H,1.33,5.5,10.5,,,,
19/01/13,Man City,Fulham,H,1.25,6.5,14,,,,
19/01/13,Newcastle,Reading,A,1.75,4,5,,,,
