21.10.2012;QPR;Everton;1;1
21.10.2012;Sunderland;Newcastle;1;1
27.10.2012;Arsenal;QPR;1;0
27.10.2012;Aston Villa;Norwich;1;1
27.10.2012;Man City;Swansea;1;0
27.10.2012;Reading;Fulham;3;3
27.10.2012;Stoke;Sunderland;0;0
27.10.2012;Wigan;West Ham;2;1
28.10.2012;Chelsea;Man United;2;3
28.10.2012;Everton;Liverpool;2;2
28.10.2012;Newcastle;West Brom;2;1
28.10.2012;Southampton;Tottenham;1;2
03.11.2012;Fulham;Everton;2;2
03.11.2012;Man United;Arsenal;2;1
03.11.2012;Norwich;Stoke;1;0
03.11.2012;Sunderland;Aston Villa;0;1
03.11.2012;Swansea;Chelsea;1;1
03.11.2012;Tottenham;Wigan;0;1
03.11.2012;West Ham;Man City;0;0
04.11.2012;Liverpool;Newcastle;1;1
04.11.2012;QPR;Reading;1;1
05.11.2012;West Brom;Southampton;2;0
10.11.2012;Arsenal;Fulham;3;3
10.11.2012;Aston Villa;Man United;2;3
10.11.2012;Everton;Sunderland;2;1
10.11.2012;Reading;Norwich;0;0
10.11.2012;Southampton;Swansea;1;1
10.11.2012;Stoke;QPR;1;0
10.11.2012;Wigan;West Brom;1;2
11.11.2012;Chelsea;Liverpool;1;1
11.11.2012;Man City;Tottenham;2;1
11.11.2012;Newcastle;West Ham;0;1
17.11.2012;Arsenal;Tottenham;5;2
17.11.2012;Liverpool;Wigan;3;0
17.11.2012;Man City;Aston Villa;5;0
17.11.2012;Newcastle;Swansea;1;2
17.11.2012;Norwich;Man United;1;0
17.11.2012;QPR;Southampton;1;3
17.11.2012;Reading;Everton;2;1
17.11.2012;West Brom;Chelsea;2;1
18.11.2012;Fulham;Sunderland;1;3
19.11.2012;West Ham;Stoke;1;1
24.11.2012;Aston Villa;Arsenal;0;0
24.11.2012;Everton;Norwich;1;1
24.11.2012;Man United;QPR;3;1
24.11.2012;Stoke;Fulham;1;0
24.11.2012;Sunderland;West Brom;2;4
24.11.2012;Wigan;Reading;3;2
25.11.2012;Chelsea;Man City;0;0
25.11.2012;Southampton;Newcastle;2;0
25.11.2012;Swansea;Liverpool;0;0
25.11.2012;Tottenham;West Ham;3;1
27.11.2012;Aston Villa;Reading;1;0
27.11.2012;Sunderland;QPR;0;0
28.11.2012;Chelsea;Fulham;0;0
28.11.2012;Everton;Arsenal;1;1
28.11.2012;Man United;West Ham;1;0
