Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,FormH,FormA,PositionH,PositionA,HS,AS,HST,AST
20/04/13,West Brom,Newcastle,D,2.25,3.5,3.4,,,,,8,10,4,6
20/04/13,West Ham,Wigan,H,2.3,3.5,3.3,,,,,17,18,11,10
21/04/13,Liverpool,Chelsea,D,2.15,3.6,3.6,,,,,23,9,12,6
21/04/13,Tottenham,Man City,H,3.25,3.6,2.3,,,,,11,11,8,7
22/04/13,Man United,Aston Villa,H,1.25,6.75,13,,,,,10,8,5,5
27/04/13,Everton,Fulham,H,1.5,4.5,7.5,,,,,17,6,10,2
27/04/13,Man City,West Ham,H,1.29,6,12,,,,,16,9,10,6
27/04/13,Newcastle,Liverpool,A,2.88,3.6,2.5,,,,,5,11,1,10
27/04/13,Southampton,West Brom,A,1.85,3.75,4.6,,,,,16,11,4,9
27/04/13,Stoke,Norwich,H,2.25,3.3,3.6,,,,,12,5,4,0
27/04/13,Wigan,Tottenham,D,3.8,3.6,2.05,,,,,6,14,4,7
28/04/13,Arsenal,Man United,D,2.25,3.6,3.3,,,,,19,10,13,5
28/04/13,Chelsea,Swansea,H,1.36,5.5,9,,,,,21,11,14,8
28/04/13,Reading,QPR,D,2.55,3.5,2.88,,,,,13,15,7,5
29/04/13,Aston Villa,Sunderland,H,2.3,3.4,3.4,,,,,18,7,15,4
4/5/2013,Fulham,Reading,A,1.73,3.9,5.25,,,,,18,20,13,13
4/5/2013,Norwich,Aston Villa,A,2.55,3.3,3,,,,,9,12,4,6
4/5/2013,QPR,Arsenal,A,8,4.75,1.44,,,,,14,13,6,11
4/5/2013,Swansea,Man City,D,5.25,3.8,1.75,,,,,7,12,1,8
4/5/2013,Tottenham,Southampton,H,1.44,4.75,8,,,,,7,10,4,6
4/5/2013,West Brom,Wigan,A,2.45,3.5,3,,,,,17,13,11,8
4/5/2013,West Ham,Newcastle,D,2.38,3.4,3.25,,,,,9,11,3,6
5/5/2013,Liverpool,Everton,D,1.95,3.6,4.2,,,,,16,11,8,4
5/5/2013,Man United,Chelsea,A,2.2,3.5,3.5,,,,,10,15,4,6
6/5/2013,Sunderland,Stoke,D,2.1,3.3,4,,,,,14,11,7,7
7/5/2013,Man City,West Brom,H,1.4,5,9,,,,,21,20,9,11
7/5/2013,Wigan,Swansea,A,1.83,3.75,4.75,,,,,14,10,11,6
8/5/2013,Chelsea,Tottenham,D,1.95,3.75,4,,,,,15,13,8,6
11/5/2013,Aston Villa,Chelsea,A,4.5,3.8,1.85,,,,,12,11,7,8
12/5/2013,Everton,West Ham,H,1.5,4.5,7.5,,,,,23,7,13,2
12/5/2013,Fulham,Liverpool,A,3.9,3.6,2.05,,,,,10,20,8,14
12/5/2013,Man United,Swansea,H,1.3,5.75,12,,,,,16,5,9,2
12/5/2013,Norwich,West Brom,H,2.2,3.4,3.6,,,,,11,8,8,5
12/5/2013,QPR,Newcastle,A,3.4,3.4,2.3,,,,,8,10,3,7
12/5/2013,Stoke,Tottenham,A,4.5,3.6,1.91,,,,,6,23,3,15
12/5/2013,Sunderland,Southampton,D,2.8,3.2,2.8,,,,,5,15,5,10
14/05/13,Arsenal,Wigan,H,1.4,5.5,8,,,,,19,10,12,5
14/05/13,Reading,Man City,A,6,4.33,1.6,,,,,11,27,7,20
19/05/13,Chelsea,Everton,H,1.7,4,5.5,,,,,20,16,10,9
19/05/13,Liverpool,QPR,H,1.25,7,12,,,,,27,10,20,3
19/05/13,Man City,Norwich,A,1.33,5.5,11,,,,,12,12,5,7
19/05/13,Newcastle,Arsenal,A,6,4.6,1.55,,,,,7,9,2,3
19/05/13,Southampton,Stoke,D,1.75,3.8,5.25,,,,,11,7,7,3
19/05/13,Swansea,Fulham,A,1.8,3.8,4.75,,,,,19,8,11,6
19/05/13,Tottenham,Sunderland,H,1.29,6,12,,,,,23,6,19,4
19/05/13,West Brom,Man United,D,4.5,3.9,1.83,,,,,15,12,8,8
19/05/13,West Ham,Reading,H,1.67,4,5.75,,,,,21,17,12,7
19/05/13,Wigan,Aston Villa,D,2.15,3.6,3.6,,,,,12,5,6,2
