Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,FormH,FormA,PositionH,PositionA,HS,AS,HST,AST
15/09/12,Fulham,West Brom,H,2.1,3.4,3.5,,,,,23,10,14,8
15/09/12,Man United,Wigan,H,1.25,6,12,,,,,17,8,10,4
15/09/12,Norwich,West Ham,D,2.38,3.4,3,,,,,20,9,14,4
15/09/12,QPR,Chelsea,D,4.5,3.5,1.83,,,,,10,13,6,9
15/09/12,Stoke,Man City,D,5,3.6,1.73,,,,,4,15,3,11
15/09/12,Sunderland,Liverpool,D,3.4,3.3,2.2,,,,,6,20,4,9
16/09/12,Reading,Tottenham,A,3.75,3.5,2,,,,,4,22,2,11
17/09/12,Everton,Newcastle,D,1.73,3.6,5,,,,,17,11,10,7
22/09/12,Chelsea,Stoke,H,1.36,4.75,9,,,,,17,13,9,6
22/09/12,Southampton,Aston Villa,H,2.4,3.3,3,,,,,12,8,4,2
22/09/12,Swansea,Everton,A,3,3.3,2.4,,,,,18,30,11,19
22/09/12,West Brom,Reading,H,1.73,3.75,4.75,,,,,9,8,4,1
22/09/12,West Ham,Sunderland,D,2.1,3.3,3.6,,,,,20,4,11,2
22/09/12,Wigan,Fulham,A,2.4,3.3,3,,,,,18,12,9,9
23/09/12,Liverpool,Man United,A,2.7,3.3,2.63,,,,,13,8,8,4
23/09/12,Man City,Arsenal,D,1.75,3.6,4.75,,,,,14,10,10,4
23/09/12,Newcastle,Norwich,H,1.8,3.6,4.5,,,,,16,8,8,3
23/09/12,Tottenham,QPR,H,1.44,4.33,7.5,,,,,18,9,14,6
29/09/12,Arsenal,Chelsea,A,2.1,3.4,3.5,,,,,14,10,5,5
29/09/12,Everton,Southampton,H,1.4,4.75,8,,,,,17,8,9,2
29/09/12,Fulham,Man City,A,4.33,3.6,1.83,,,,,7,21,3,12
29/09/12,Man United,Tottenham,A,1.57,4,6,,,,,15,10,8,6
29/09/12,Norwich,Liverpool,A,4.75,3.75,1.73,,,,,10,10,7,6
29/09/12,Reading,Newcastle,D,2.88,3.3,2.5,,,,,14,8,7,3
29/09/12,Stoke,Swansea,H,1.91,3.4,4.2,,,,,10,8,5,0
29/09/12,Sunderland,Wigan,H,2,3.4,3.8,,,,,11,8,6,3
30/09/12,Aston Villa,West Brom,D,2.4,3.3,3,,,,,19,14,8,7
1/10/2012,QPR,West Ham,A,2.05,3.4,3.75,,,,,13,17,9,10
6/10/2012,Chelsea,Norwich,H,1.22,6.5,12,,,,,20,7,13,4
6/10/2012,Man City,Sunderland,H,1.29,5.5,11,,,,,26,8,16,6
6/10/2012,Swansea,Reading,D,1.91,3.6,4,,,,,25,8,16,6
6/10/2012,West Brom,QPR,H,1.83,3.75,4.2,,,,,13,13,8,6
6/10/2012,West Ham,Arsenal,A,4,3.6,1.91,,,,,7,20,3,14
6/10/2012,Wigan,Everton,D,4.2,3.4,1.91,,,,,10,16,6,11
7/10/2012,Liverpool,Stoke,D,1.44,4.33,7.5,,,,,16,5,5,3
7/10/2012,Newcastle,Man United,A,4.2,3.75,1.83,,,,,13,12,3,9
7/10/2012,Southampton,Fulham,D,2.75,3.3,2.6,,,,,13,14,6,5
7/10/2012,Tottenham,Aston Villa,H,1.44,4.33,7.5,,,,,23,8,10,5
20/10/12,Fulham,Aston Villa,H,1.8,3.6,4.5,,,,,17,9,8,4
20/10/12,Liverpool,Reading,H,1.33,5,10,,,,,23,8,13,5
20/10/12,Man United,Stoke,H,1.29,5.5,11,,,,,13,8,8,6
20/10/12,Norwich,Arsenal,H,6,4.2,1.53,,,,,7,13,3,7
20/10/12,Swansea,Wigan,H,2.1,3.4,3.5,,,,,18,10,11,7
20/10/12,Tottenham,Chelsea,A,2.5,3.4,2.75,,,,,23,11,16,7
20/10/12,West Brom,Man City,A,5,3.75,1.7,,,,,16,21,8,13
20/10/12,West Ham,Southampton,H,1.83,3.75,4.2,,,,,9,11,8,4
21/10/12,QPR,Everton,D,3.25,3.4,2.2,,,,,14,10,6,4
21/10/12,Sunderland,Newcastle,D,2.5,3.3,2.88,,,,,16,10,6,7
27/10/12,Arsenal,QPR,H,1.36,5,8.5,,,,,21,4,11,3
27/10/12,Aston Villa,Norwich,D,2,3.5,3.75,,,,,7,14,5,6
27/10/12,Man City,Swansea,H,1.22,6,15,,,,,10,9,5,5
27/10/12,Reading,Fulham,D,2.75,3.4,2.5,,,,,15,16,9,8
27/10/12,Stoke,Sunderland,D,1.95,3.3,4.2,,,,,11,6,6,3
27/10/12,Wigan,West Ham,H,2.25,3.4,3.2,,,,,17,15,13,11
28/10/12,Chelsea,Man United,A,2.4,3.4,2.9,,,,,14,15,11,7
28/10/12,Everton,Liverpool,D,2.6,3.3,2.75,,,,,17,12,8,5
28/10/12,Newcastle,West Brom,H,2,3.5,3.75,,,,,10,8,6,4
28/10/12,Southampton,Tottenham,A,4.2,3.75,1.83,,,,,11,11,6,4
3/11/2012,Fulham,Everton,D,2.75,3.4,2.5,,,,,8,26,5,15
3/11/2012,Man United,Arsenal,H,1.7,3.8,5,,,,,11,7,7,3
3/11/2012,Norwich,Stoke,H,2.6,3.3,2.75,,,,,12,8,8,3
3/11/2012,Sunderland,Aston Villa,A,2.1,3.3,3.6,,,,,11,9,1,6
3/11/2012,Swansea,Chelsea,D,4.5,3.6,1.8,,,,,9,11,7,7
3/11/2012,Tottenham,Wigan,A,1.5,4.33,6.5,,,,,13,7,10,4
3/11/2012,West Ham,Man City,D,5,3.8,1.7,,,,,6,18,1,8
4/11/2012,Liverpool,Newcastle,D,1.57,4,6,,,,,20,10,12,3
4/11/2012,QPR,Reading,D,1.8,3.6,4.5,,,,,23,18,12,8
5/11/2012,West Brom,Southampton,H,1.73,3.75,4.75,,,,,16,9,6,5
10/11/2012,Arsenal,Fulham,D,1.53,4.2,6,,,,,15,9,9,5
10/11/2012,Aston Villa,Man United,A,7,4.5,1.44,,,,,10,16,7,7
10/11/2012,Everton,Sunderland,H,1.44,4.2,8,,,,,16,6,10,4
10/11/2012,Reading,Norwich,D,2.25,3.4,3.2,,,,,7,10,3,3
10/11/2012,Southampton,Swansea,D,2.38,3.5,2.88,,,,,11,5,5,3
10/11/2012,Stoke,QPR,H,1.91,3.4,4.2,,,,,10,17,5,8
10/11/2012,Wigan,West Brom,A,2.3,3.4,3.1,,,,,14,7,6,4
11/11/2012,Chelsea,Liverpool,D,1.95,3.5,4,,,,,12,9,3,5
11/11/2012,Man City,Tottenham,H,1.57,4,6,,,,,16,6,8,2
11/11/2012,Newcastle,West Ham,A,1.95,3.6,3.8,,,,,14,10,9,5
17/11/12,Arsenal,Tottenham,H,1.91,3.75,3.8,,,,,13,6,10,4
17/11/12,Liverpool,Wigan,H,1.44,4.33,7.5,,,,,22,9,11,3
17/11/12,Man City,Aston Villa,H,1.2,6.5,15,,,,,21,10,8,8
17/11/12,Newcastle,Swansea,A,1.91,3.6,4,,,,,27,15,10,9
17/11/12,Norwich,Man United,H,7,4.5,1.44,,,,,10,12,5,9
17/11/12,QPR,Southampton,A,1.91,3.6,4,,,,,13,21,7,15
17/11/12,Reading,Everton,H,4.33,3.6,1.83,,,,,12,21,4,11
17/11/12,West Brom,Chelsea,H,3.75,3.5,2,,,,,8,19,6,12
18/11/12,Fulham,Sunderland,A,1.67,3.75,5.25,,,,,18,12,13,9
19/11/12,West Ham,Stoke,D,2,3.4,3.8,,,,,16,12,11,6
24/11/12,Aston Villa,Arsenal,D,4.75,3.75,1.73,,,,,10,13,8,6
24/11/12,Everton,Norwich,D,1.44,4.33,7.5,,,,,14,8,9,4
24/11/12,Man United,QPR,H,1.17,7.5,15,,,,,15,10,10,6
24/11/12,Stoke,Fulham,H,2.2,3.3,3.4,,,,,12,8,3,5
24/11/12,Sunderland,West Brom,A,2.5,3.3,2.88,,,,,19,11,12,6
24/11/12,Wigan,Reading,H,1.83,3.6,4.33,,,,,19,16,11,10
25/11/12,Chelsea,Man City,D,2.5,3.5,2.7,,,,,5,11,1,7
25/11/12,Southampton,Newcastle,H,2.3,3.5,3,,,,,17,8,10,3
25/11/12,Swansea,Liverpool,D,3.4,3.5,2.1,,,,,17,21,8,14
25/11/12,Tottenham,West Ham,H,1.67,3.75,5.5,,,,,25,10,13,6
27/11/12,Aston Villa,Reading,H,1.95,3.4,4,,,,,15,11,7,6
27/11/12,Sunderland,QPR,D,2.25,3.25,3.3,,,,,13,13,8,9
28/11/12,Chelsea,Fulham,D,1.44,4.5,7,,,,,17,8,13,7
28/11/12,Everton,Arsenal,D,2.5,3.4,2.75,,,,,14,12,10,9
28/11/12,Man United,West Ham,H,1.22,6.5,12,,,,,23,9,13,3
28/11/12,Southampton,Norwich,D,2,3.4,3.8,,,,,8,9,2,5
28/11/12,Stoke,Newcastle,H,1.91,3.4,4.2,,,,,11,7,5,6
28/11/12,Swansea,West Brom,H,2.3,3.4,3.1,,,,,13,6,8,2
28/11/12,Tottenham,Liverpool,H,2.4,3.4,2.88,,,,,14,14,7,9
28/11/12,Wigan,Man City,A,6,4.2,1.53,,,,,9,15,4,6
1/12/2012,Arsenal,Swansea,A,1.44,4.5,7,,,,,10,12,8,10
1/12/2012,Fulham,Tottenham,A,2.88,3.3,2.5,,,,,8,10,2,6
1/12/2012,Liverpool,Southampton,H,1.4,4.5,8.5,,,,,24,8,11,4
1/12/2012,Man City,Everton,D,1.5,4,7,,,,,9,8,6,5
1/12/2012,QPR,Aston Villa,D,1.95,3.5,4,,,,,17,7,12,3
1/12/2012,Reading,Man United,A,7.5,4.75,1.4,,,,,10,10,7,5
1/12/2012,West Brom,Stoke,A,2.1,3.25,3.75,,,,,14,6,11,4
1/12/2012,West Ham,Chelsea,H,4,3.5,1.91,,,,,16,16,13,9
2/12/2012,Norwich,Sunderland,H,2.1,3.3,3.6,,,,,7,16,5,6
3/12/2012,Newcastle,Wigan,H,2,3.4,3.75,,,,,16,9,8,4
8/12/2012,Arsenal,West Brom,H,1.5,4.33,6.5,,,,,16,7,7,2
