num;Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;SJH;SJD;SJA;VCH;VCD;VCA;BSH;BSD;BSA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA
2;E0;13.11.2010;West Ham;Blackpool;0;0;D;0;0;D;17;16;4;5;7;7;8;7;0;1;0;0;Oca.91;03.Haz;4;Oca.85;03.Haz;03.Aðu;01.Eyl;03.Nis;4;01.Eyl;03.Mar;03.Tem;Oca.91;03.Haz;03.Aðu;01.Aðu;03.Nis;4;Oca.91;03.Nis;4;Oca.91;03.Haz;Mar.75;Oca.91;03.Haz;Nis.33;Oca.91;03.Mar;4;37;Oca.95;Oca.87;Mar.81;Mar.54;Nis.41;04.Haz;32;Oca.73;Oca.66;Þub.32;Þub.17;21;0;01.Nis;Oca.37;03.Oca;Þub.94
2;E0;13.11.2010;Wigan;West Brom;1;0;H;0;0;D;13;12;4;6;13;13;5;5;1;1;0;0;02.May;Mar.25;Þub.88;Þub.25;03.Þub;03.May;02.May;03.Þub;Þub.75;02.Mar;03.Þub;02.Aðu;02.Nis;03.Mar;Þub.88;02.Mar;03.Þub;Þub.85;02.Haz;Mar.25;02.Tem;Þub.38;03.Þub;3;02.May;03.Mar;3;Þub.38;03.Þub;Þub.88;36;02.Haz;Þub.46;Mar.36;Mar.26;3;Þub.87;36;02.May;Oca.97;01.Eyl;Oca.81;30;0;Oca.84;Oca.74;02.Þub;02.Tem
2;E0;13.11.2010;Wolves;Bolton;2;3;A;0;1;A;10;13;6;7;10;10;12;3;1;0;0;0;02.Nis;03.Oca;03.Þub;02.Þub;03.Þub;03.Þub;Þub.35;03.Þub;3;02.Nis;03.Þub;02.Tem;02.Nis;03.Mar;02.Eyl;02.Þub;03.Þub;3;02.Nis;03.Þub;3;02.Mar;Mar.25;03.Oca;02.Nis;03.Mar;03.Þub;02.Mar;Mar.25;3;37;Þub.44;Þub.34;Mar.31;Mar.23;Mar.28;03.Aðu;31;02.Þub;02.Aðu;Oca.84;Oca.71;27;0;Oca.71;Oca.64;Þub.36;Þub.21
2;E0;14.11.2010;Chelsea;Sunderland;0;3;A;0;1;A;14;19;7;9;9;13;6;3;1;2;0;0;Oca.22;May.75;15;Oca.22;05.May;12;Oca.22;6;11;Oca.22;05.Mar;11;01.Þub;06.May;13;Oca.18;May.75;12;Oca.22;05.May;15;Oca.18;06.May;15;Oca.22;06.May;17;01.Þub;6;13;36;Oca.25;Oca.22;06.May;May.92;17;13.97;26;Oca.67;Oca.57;02.May;Þub.32;16;-1.75;Oca.98;Oca.94;02.Oca;Oca.92
2;E0;14.11.2010;Everton;Arsenal;1;2;A;0;1;A;14;13;7;8;15;14;9;2;2;2;0;0;03.Nis;03.Mar;02.Þub;03.Oca;Mar.25;02.Þub;03.Þub;03.Þub;02.Þub;03.Þub;03.Þub;02.Oca;Mar.25;Mar.25;Þub.25;3;03.Mar;Þub.15;03.Mar;03.Þub;Þub.25;03.Oca;03.Nis;Þub.25;03.Nis;03.Nis;Þub.25;03.Þub;03.Þub;Þub.25;36;Mar.45;Mar.25;Mar.45;Mar.29;Þub.32;Þub.22;35;2;Oca.95;Oca.93;Oca.83;25;0;Þub.53;Þub.34;Oca.62;Oca.56
2;E0;20.11.2010;Arsenal;Tottenham;2;3;A;2;0;H;12;10;7;6;17;16;2;6;3;1;0;0;Oca.62;4;05.May;01.Haz;Mar.75;May.25;Oca.65;Mar.75;5;01.Tem;03.May;04.Nis;Oca.67;Mar.75;5;Oca.62;03.May;5;Oca.62;4;5;Oca.67;03.Aðu;05.May;Oca.67;04.Þub;05.May;Oca.62;03.Haz;05.May;39;Oca.69;Oca.64;04.Þub;Mar.79;May.61;May.36;32;01.Tem;Oca.64;02.Mar;02.Þub;20;-0.75;Oca.85;Oca.82;02.Ara;02.Haz
2;E0;20.11.2010;Birmingham;Chelsea;1;0;H;1;0;H;1;24;1;9;9;2;4;14;2;0;0;0;5;03.Haz;Oca.73;5;03.Haz;Oca.67;Nis.75;03.Nis;Oca.75;04.Nis;03.May;01.Tem;05.May;Mar.75;Oca.62;5;03.Nis;Oca.65;04.Nis;03.Haz;01.Aðu;5;03.May;01.Aðu;May.25;03.Haz;Oca.75;05.May;03.May;Oca.67;38;May.55;May.17;Mar.75;Mar.51;Oca.79;Oca.72;38;02.Oca;Oca.99;Oca.85;Oca.79;19;0.75;Oca.92;Oca.88;02.Nis;2
2;E0;20.11.2010;Blackpool;Wolves;2;1;H;2;0;H;13;19;9;10;7;9;4;11;0;2;0;0;02.May;03.Mar;Þub.88;Þub.45;03.Þub;Þub.75;02.May;Mar.25;Þub.75;02.Mar;03.Þub;02.Aðu;02.Mar;03.Nis;3;02.Nis;03.Þub;02.Tem;02.Nis;03.Nis;02.Aðu;02.May;03.Nis;Þub.88;02.May;03.Nis;Þub.88;02.May;Mar.25;02.Tem;38;Þub.65;02.May;Mar.46;Mar.29;3;02.Aðu;32;Oca.75;Oca.69;Þub.25;02.Kas;31;0;Oca.88;01.Aðu;02.Kas;2
2;E0;20.11.2010;Bolton;Newcastle;5;1;H;2;0;H;18;6;9;1;13;9;2;3;0;2;0;1;02.Oca;03.Mar;03.Haz;02.May;03.Nis;03.Nis;02.Oca;Mar.25;03.Nis;02.Oca;03.Þub;03.Þub;02.Oca;03.Mar;03.May;02.May;03.Þub;03.Mar;02.Oca;03.May;Mar.25;02.Oca;03.Mar;Mar.75;Þub.15;03.Nis;Mar.75;02.Oca;Mar.25;03.Nis;38;Þub.24;Þub.13;Mar.44;Mar.31;Mar.75;Mar.45;38;Oca.99;Oca.92;Oca.92;Oca.85;20;0;Oca.55;01.May;Þub.52;Þub.45
2;E0;20.11.2010;Liverpool;West Ham;3;0;H;3;0;H;19;6;11;1;8;8;10;2;0;1;0;0;Oca.57;03.Aðu;06.May;Oca.55;Mar.75;6;Oca.55;03.Haz;06.May;Oca.55;03.Tem;05.Nis;Oca.53;Mar.75;06.May;01.May;Mar.75;6;Oca.57;03.Haz;06.May;Oca.57;Mar.75;7;Oca.57;4;7;Oca.53;03.Haz;7;38;Oca.57;Oca.53;Nis.18;Mar.85;07.May;Haz.75;37;02.Nis;Oca.92;Oca.92;Oca.85;19;0;01.Þub;Oca.16;05.May;Nis.79
2;E0;20.11.2010;Man United;Wigan;2;0;H;1;0;H;17;10;12;4;10;14;11;1;0;2;0;2;Oca.22;6;15;Oca.18;06.May;12;01.Þub;May.75;15;Oca.22;05.Mar;11;Oca.22;6;13;Oca.17;6;13;Oca.22;05.May;15;Oca.22;06.May;15;Oca.22;06.May;17;01.Þub;6;15;38;Oca.25;Oca.21;Haz.68;06.Eyl;17.Haz;14.May;33;Oca.65;Oca.58;Þub.51;02.Mar;19;-1.75;Oca.98;Oca.89;02.Nis;Oca.98
2;E0;20.11.2010;West Brom;Stoke;0;3;A;0;0;D;15;6;8;4;10;9;8;3;0;0;0;0;02.Þub;03.Þub;03.May;02.Oca;03.Oca;03.May;Þub.15;03.Þub;03.Mar;02.Þub;03.Þub;3;02.Þub;03.Mar;03.Mar;02.Oca;03.Þub;03.Þub;02.May;03.Mar;03.Haz;02.Þub;Mar.25;03.Haz;Þub.25;03.Mar;03.Haz;02.Þub;03.Þub;Mar.25;38;Þub.32;02.Þub;Mar.36;Mar.21;Mar.62;Mar.38;36;Þub.14;02.Þub;Oca.85;Oca.76;26;0;Oca.62;Oca.55;02.May;Þub.38
2;E0;21.11.2010;Blackburn;Aston Villa;2;0;H;1;0;H;14;16;5;11;15;10;5;8;0;1;0;0;02.Mar;Mar.25;Mar.25;Þub.25;03.Þub;03.Oca;02.Mar;Mar.25;3;02.Nis;03.Þub;02.Tem;Þub.38;Mar.25;3;Þub.15;03.Þub;03.Oca;02.Mar;03.Oca;03.Þub;Þub.38;Mar.25;03.Þub;Þub.38;03.Mar;03.Mar;02.Mar;Mar.25;3;38;02.Nis;Þub.29;Mar.36;Mar.24;Mar.45;Mar.16;34;Þub.25;Þub.15;01.Aðu;Oca.67;24;0;Oca.67;Oca.61;Þub.44;Þub.26
2;E0;21.11.2010;Fulham;Man City;1;4;A;0;3;A;9;11;3;8;13;16;7;7;2;1;0;0;03.Þub;03.Oca;02.Nis;03.May;Mar.25;Þub.25;3;Mar.25;02.Mar;02.Eyl;03.Oca;02.Mar;Þub.88;Mar.25;02.Nis;02.Eyl;03.Þub;Þub.25;3;Mar.25;Þub.38;03.Þub;Mar.25;Þub.38;Mar.25;Mar.25;02.Nis;Þub.88;Mar.25;Þub.38;38;Mar.36;03.Kas;Mar.32;03.Þub;Þub.45;Þub.34;33;Þub.38;Þub.14;Oca.75;Oca.67;28;0;Þub.33;Þub.21;Oca.72;Oca.64
2;E0;22.11.2010;Sunderland;Everton;2;2;D;1;1;D;13;10;8;8;5;7;4;4;0;2;0;0;02.Haz;03.Þub;02.Aðu;02.May;03.Oca;02.Aðu;02.May;Mar.25;02.Tem;02.Nis;03.Þub;02.Tem;02.Nis;Mar.25;Þub.88;Þub.35;03.Þub;Þub.75;Þub.62;03.Oca;02.Aðu;02.Haz;03.Mar;02.Aðu;Þub.62;03.Mar;Þub.88;Þub.38;Mar.25;Þub.88;38;Þub.73;Þub.54;03.Mar;Mar.21;02.Eyl;Þub.81;31;Þub.42;Þub.27;Oca.67;01.Haz;30;0;Oca.92;Oca.82;02.Oca;Oca.99
2;E0;27.11.2010;Aston Villa;Arsenal;2;4;A;0;2;A;6;17;4;10;10;7;3;8;1;1;0;0;03.Nis;03.Mar;02.Þub;03.May;03.May;02.Oca;03.Þub;03.Þub;02.Þub;03.Mar;03.Mar;2;03.Mar;03.Mar;02.Þub;Mar.25;Mar.25;02.May;03.May;03.Mar;02.Oca;03.May;03.Mar;02.Oca;03.Haz;03.Nis;02.Þub;03.Oca;03.Þub;Þub.25;38;03.Haz;Mar.35;Mar.45;03.Mar;02.Mar;Þub.17;36;02.Eyl;Oca.92;Oca.96;Oca.84;26;0;Þub.51;Þub.37;Oca.63;Oca.56
2;E0;27.11.2010;Bolton;Blackpool;2;2;D;0;1;A;24;16;14;10;8;14;4;4;2;2;0;0;Oca.57;04.Þub;05.May;Oca.55;04.Oca;May.25;Oca.57;Mar.75;May.75;Oca.65;03.May;04.Haz;Oca.62;Mar.75;05.May;Oca.55;Mar.75;May.25;Oca.62;03.Haz;6;Oca.62;Mar.75;05.May;Oca.57;04.Þub;6;Oca.57;4;05.May;37;Oca.65;Oca.57;04.Mar;Mar.96;06.Haz;May.82;31;Oca.65;Oca.53;Þub.63;02.Nis;20;0;Oca.25;01.Þub;04.Aðu;Nis.17
2;E0;27.11.2010;Everton;West Brom;1;4;A;1;2;A;12;7;4;3;11;18;2;2;1;3;1;1;Oca.57;03.Aðu;06.May;Oca.55;03.May;06.May;Oca.57;Mar.75;May.75;01.Haz;03.Haz;5;Oca.57;Mar.75;6;Oca.55;03.Haz;05.May;Oca.62;03.Haz;6;Oca.57;03.Aðu;6;Oca.57;4;06.May;Oca.57;4;05.May;37;Oca.62;Oca.55;04.Þub;Mar.87;07.Oca;06.Mar;35;01.Eyl;01.Aðu;02.Ara;Oca.96;20;0;Oca.23;Oca.18;05.Oca;Nis.39
2;E0;27.11.2010;Fulham;Birmingham;1;1;D;0;1;A;11;7;7;3;10;9;7;4;1;0;0;0;2;03.Mar;4;Oca.95;Mar.25;Mar.85;2;Mar.25;Mar.75;2;03.Þub;03.Nis;02.Oca;03.Mar;03.May;2;03.Þub;03.May;02.Oca;03.Oca;03.Aðu;02.Oca;Mar.25;03.Haz;2;03.Mar;4;02.May;Mar.25;03.Haz;37;Þub.15;02.Haz;Mar.35;Mar.23;04.Þub;Mar.75;33;Þub.39;Þub.23;Oca.68;Oca.62;21;0;01.May;Oca.44;Þub.75;Þub.63
2;E0;27.11.2010;Man United;Blackburn;7;1;H;3;0;H;15;3;11;2;6;6;5;2;0;2;0;0;Oca.25;05.May;13;Oca.22;05.May;12.May;01.Mar;5;9;01.Þub;05.May;12;Oca.29;05.May;10;Oca.22;05.May;10;01.Mar;5;11;Oca.25;05.May;12;Oca.29;6;13;Oca.25;05.May;11;38;01.Mar;Oca.26;6;May.44;14.92;Ara.14;31;Oca.78;Oca.64;Þub.38;Þub.17;21;-1.5;Oca.91;Oca.85;02.Tem;02.Þub
2;E0;27.11.2010;Stoke;Man City;1;1;D;0;0;D;16;9;9;4;8;10;6;2;2;2;0;0;03.Nis;Mar.25;02.Þub;03.May;03.Nis;Þub.15;03.May;03.Þub;02.Oca;02.Aðu;03.Þub;02.Mar;03.Mar;03.Mar;02.Þub;03.Mar;03.Þub;02.May;Mar.75;03.Oca;02.Oca;Mar.25;Mar.25;Þub.25;03.May;03.Mar;02.Þub;03.Oca;Mar.25;Þub.25;38;Mar.84;Mar.42;Mar.38;Mar.26;Þub.25;Þub.16;33;Þub.26;Þub.14;Oca.75;Oca.67;26;0;Þub.63;Þub.45;Oca.57;Oca.52
2;E0;27.11.2010;West Ham;Wigan;3;1;H;1;0;H;15;10;9;10;8;8;7;2;0;0;0;0;2;03.May;Mar.75;Oca.91;03.Nis;03.Aðu;2;03.Þub;Mar.75;2;03.Þub;03.Nis;2;03.Nis;Mar.75;01.Eyl;03.Nis;03.Haz;02.Oca;03.Mar;03.May;02.Oca;03.Nis;03.Þub;02.May;03.Nis;4;2;Mar.25;Mar.75;37;02.Oca;02.Oca;03.May;Mar.35;04.Eyl;Mar.79;36;Þub.26;02.Mar;Oca.81;Oca.75;21;0;Oca.48;Oca.42;Þub.82;Þub.68
