Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,MatchRating,GoalDiff,B365H,B365D,B365A,FTR
22/11/09,Bolton,Blackburn,average,average,13,11,12.82,11.36,6.55,6.0,D,0,2.25,3.2,3.4,A
22/11/09,Stoke,Portsmouth,average,average,8,14,8.67,14.33,4.0,7.5,D,-2,2.1,3.4,3.5,H
22/11/09,Tottenham,Wigan,average,average,4,11,14.58,13.42,9.0,6.75,H,5,1.44,4.33,8,H
25/11/09,Fulham,Blackburn,average,good,10,9,10.08,11.67,5.33,6.42,H,9,2.1,3.3,3.6,H
25/11/09,Hull,Everton,average,average,13,11,9.31,14.17,5.46,8.67,D,1,3.5,3.3,2.15,H
28/11/09,Aston Villa,Tottenham,average,good,4,3,10.92,15.62,6.46,9.54,D,-3,2.5,3.25,2.88,D
28/11/09,Blackburn,Stoke,good,average,11,8,11.31,8.69,6.15,3.92,A,-7,1.91,3.4,4.2,D
28/11/09,Fulham,Bolton,average,poor,8,12,9.92,13.0,5.23,6.67,H,16,1.91,3.5,4.2,D
28/11/09,Man City,Hull,average,good,6,10,12.17,9.21,7.17,5.57,D,2,1.29,5.5,11,D
28/11/09,Portsmouth,Man United,average,good,16,2,14.31,16.69,7.46,9.77,D,-2,10,4.5,1.36,A
28/11/09,West Ham,Burnley,average,good,14,9,14.15,9.08,8.23,5.08,D,-1,1.8,3.6,4.5,H
28/11/09,Wigan,Sunderland,poor,average,12,7,13.23,10.23,6.62,5.69,A,-10,2.4,3.4,2.9,H
29/11/09,Arsenal,Chelsea,good,good,4,1,16.33,20.23,9.42,11.62,A,-4,2.7,3.2,2.7,A
29/11/09,Everton,Liverpool,average,average,11,7,13.46,16.92,8.23,9.62,D,-1,3.5,3.4,2.1,A
29/11/09,Wolves,Birmingham,poor,good,14,11,11.69,9.08,6.46,5.54,A,-7,2.4,3.2,3.1,A
5/12/2009,Arsenal,Stoke,average,average,4,7,15.46,8.57,8.92,3.93,D,2,1.29,5,13,H
5/12/2009,Aston Villa,Hull,good,good,5,11,11.0,9.13,6.29,5.4,D,3,1.44,4.33,7.5,H
5/12/2009,Blackburn,Liverpool,average,good,10,5,11.29,16.36,6.0,9.43,A,-7,5.25,3.8,1.67,D
5/12/2009,Man City,Chelsea,average,good,6,1,12.54,19.29,7.15,11.14,A,-16,4.2,3.4,1.91,H
5/12/2009,Portsmouth,Burnley,poor,average,16,10,14.71,9.57,7.79,5.43,D,0,1.91,3.4,4.2,H
5/12/2009,West Ham,Man United,average,good,13,2,13.79,16.36,8.0,9.64,A,-4,8,4.2,1.44,A
5/12/2009,Wigan,Birmingham,average,good,10,9,13.43,9.36,6.86,5.64,A,-10,2.1,3.3,3.6,A
5/12/2009,Wolves,Bolton,poor,poor,16,15,11.43,12.31,6.14,6.31,D,2,2.38,3.25,3.1,H
6/12/2009,Everton,Tottenham,poor,good,13,4,13.36,16.14,8.21,10.07,A,-13,2.88,3.25,2.5,D
6/12/2009,Fulham,Sunderland,average,average,10,9,10.07,10.14,5.36,5.57,H,6,2.1,3.3,3.6,H
12/12/2009,Birmingham,West Ham,good,average,9,14,9.4,13.6,5.87,7.93,H,6,2.1,3.3,3.6,H
12/12/2009,Bolton,Man City,poor,good,15,6,12.64,12.57,6.57,7.21,A,-11,4.5,3.6,1.8,D
12/12/2009,Burnley,Fulham,poor,good,10,7,9.87,10.47,5.6,5.33,A,-9,2.63,3.25,2.75,D
12/12/2009,Chelsea,Everton,good,poor,1,11,18.67,13.47,10.8,8.07,H,21,1.25,5.5,15,D
12/12/2009,Hull,Blackburn,average,average,11,9,8.88,11.13,5.13,5.8,D,-2,2.8,3.25,2.6,D
12/12/2009,Man United,Aston Villa,good,good,2,5,16.47,11.13,9.73,6.27,D,3,1.5,4.2,7,A
12/12/2009,Stoke,Wigan,average,average,9,12,8.33,13.73,3.93,6.87,H,9,2.1,3.3,3.6,D
12/12/2009,Sunderland,Portsmouth,average,average,10,16,10.0,14.33,5.53,7.53,A,-4,1.8,3.5,4.75,D
12/12/2009,Tottenham,Wolves,good,average,5,14,16.33,11.47,10.13,6.47,H,13,1.25,5.75,13,A
13/12/09,Liverpool,Arsenal,good,average,7,4,16.27,15.21,9.53,8.86,D,-2,2.2,3.3,3.4,A
15/12/09,Birmingham,Blackburn,good,average,7,10,9.81,11.31,6.06,6.0,D,3,2.2,3.25,3.4,H
15/12/09,Bolton,West Ham,average,average,15,14,12.6,13.63,6.67,7.88,A,-8,2.25,3.3,3.25,H
15/12/09,Man United,Wolves,good,good,2,13,16.44,10.94,9.69,6.25,H,16,1.17,7,19,H
15/12/09,Sunderland,Aston Villa,poor,good,8,3,10.38,10.94,5.75,6.19,A,-10,2.88,3.3,2.5,A
16/12/09,Burnley,Arsenal,poor,good,10,3,9.88,14.67,5.75,8.6,A,-7,7,4.2,1.5,D
16/12/09,Chelsea,Portsmouth,average,average,1,13,19.06,14.0,10.94,7.44,H,11,1.14,8,19,H
16/12/09,Liverpool,Wigan,average,average,6,10,15.63,13.56,9.13,6.94,H,11,1.33,4.75,11,H
16/12/09,Tottenham,Man City,average,good,4,5,16.44,12.67,10.13,7.13,H,5,2.25,3.3,3.25,H
19/12/09,Arsenal,Hull,good,average,3,11,14.81,8.88,8.63,5.24,D,3,1.22,6,15,H
